rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
1,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,,19.4,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.74,V (Johnson),4.372,4742,2.7,19,5/14/2014,0,1,0,0,0,0,1.38E+01,2452899.6,94.8,302.8,,,,19.4,,6165.6,6165.6,,,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,3,0,27,19,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2008-01,HD 107383,HIP 60202,12.34528503,264.140892,78.280522,177.422388,18.333765,10.71,10.71,-109.2,88.2,140.4,-109.2,88.2,140.4,43.37,5,K0 III,2.31,2.243,,-0.35,[Fe/H],,1.2,,,,,3,0,1,2,0,3,0,6.54,4.74,5.75,,,2.943,2.484,2.282,0.639,0.732,2.358,2.27,,,,,,,,1.83E+00,1.87E+00,1.18E+00,-9.16E-01,20,0.79,1.01,,,0.459,0.202,0.661,,,,7
2,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,,14.74,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.5,4213,2.78,29.79,9/6/2018,0,1,0,0,0,0,1.22E+01,,,189.7,,,,14.74,,4684.8142,4684.8142,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,35,18,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2009-10,HD 136726,HIP 74793,15.28496908,108.718982,41.044516,141.647144,74.958184,7.95,7.95,3.4,10.1,10.7,3.4,10.1,10.7,-17.52,5.4,K4 III,1.93,,,-0.02,[Fe/H],,1.5,,,,,2,0,1,1,0,3,0,,5.016,6.385,,,2.876,2.091,1.939,-0.29,0.143,1.894,1.787,,,,,,,,1.34E+00,1.35E+00,1.18E+00,-9.16E-01,17,,1.369,,,0.785,0.152,0.937,,,,5
3,14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,,4.8,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813,2.2,11,5/14/2014,0,1,0,0,0,0,1.10E+01,2452861.4,0,100,,,,4.8,,1525.5,1525.5,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,30,22,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2008-12,HD 221345,HIP 116076,23.52150472,106.411558,-21.05061,11.962116,38.229937,13.23,13.23,287.3,-83.8,299.3,287.3,-83.8,299.3,-59.73,4.8,G8 III,2.63,1.763,,-0.24,[Fe/H],,2.6,0.095,,,,2,0,1,1,0,3,0,7.1,5.227,6.24,,,3.019,2.608,2.331,1.592,2.545,2.719,2.719,,,,,,,,2.20E+00,2.32E+00,1.18E+00,-9.16E-01,21,0.86,1.02,,,0.411,0.277,0.688,,,,7
4,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,,4.66,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.61,V (Johnson),6.379,5338,0.9,0.93,9/6/2018,0,1,0,0,0,0,1.63E+02,,,90,,,,4.66,,1481.0878,1481.0878,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,79,37,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2003-01,HD 145675,HIP 79248,16.17342021,69.170376,46.944999,223.248728,62.879798,55.74,55.74,132,-296.5,324.5,132,-296.5,324.5,,5,K0 V,4.45,,,0.41,[Fe/H],,1.6,0.161,-5.06,,,5,0,1,4,0,4,1,,6.61,7.49,,,5.158,4.803,4.714,4.676,4.543,4.721,4.674,,,,,4.73E+00,4.62E+00,,4.21E+00,3.58E+00,1.18E+00,-9.16E-01,25,,0.88,,,0.355,0.089,0.444,0.537,0.366,0.438,9
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,,1.78,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.25,V (Johnson),6.057,5750,1.08,1.13,9/6/2018,0,1,0,0,0,0,7.85E+01,,,50.5,,,,1.78,,565.7374,565.7374,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,77,40,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,HD 186427,HIP 96901,19.69777018,83.33646,13.204352,321.21805,69.468372,47.28,47.28,-134.8,-162.5,211.1,-134.8,-162.5,211.1,-28.1,4.25,G2.5 V,4.36,,,0.06,[Fe/H],,2.18,0.148,-5.08,,,5,0,1,4,0,4,3,7.07,6.25,6.91,,,4.993,4.695,4.651,4.773,4.568,4.926,4.713,,,,,4.69E+00,4.36E+00,,,,,,28,0.21,0.66,,,0.298,0.044,0.342,0.418,0.222,0.351,17
6,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,,10.3,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979,2.3,8.5,5/14/2014,0,1,0,0,0,0,3.40E+01,2451672,166.1,119.4,,,,10.3,,3273.5,3273.5,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,28,20,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2008-06,HD 199665,HIP 103527,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.09,13.09,-50,-34.2,60.6,-50,-34.2,60.6,4.35,4.6,G6 III,2.82,1.602,,-0.052,[Fe/H],,,,,,,2,0,1,1,0,3,0,,5.506,6.43,,,4.032,3.44,3.366,3.37,2.931,3.355,3.308,,,,,,,,2.91E+00,2.85E+00,1.18E+00,-9.56E-01,18,,0.924,,,0.592,0.074,0.666,,,,5
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,330,,,8,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,139.67,,,12.057,4060,0.85,,4/1/2015,0,0,1,0,0,0,2.28E+03,,,,1700,,8,,3000,,3000,,,,,,,,,,,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,3,0,28,8,http://exoplanet.eu/catalog/1rxs_1609_b/,,2008-12,,,16.15841787,352.89056,22.030427,244.365684,-0.06841,,7.16,-10.3,-23.2,25.4,-10.3,-23.2,25.4,,5.7,K7 V,,-0.37,,,,0.005,,,,,,0,0,0,0,0,3,0,,,,,,9.82,9.121,8.916,8.794,8.79,8.684,8.531,,,,,,,,,,,,8,,,,,0.699,0.205,0.904,,,,3
8,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,,0.91,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.58,V (Johnson),5.305,4893,0.99,10.64,4/26/2018,0,1,0,0,0,0,1.97E+00,2450008.6,210,59.9,,,,0.91,,289.2253,289.2253,,,,,,JD,,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,2018,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,17,14,http://exoplanet.eu/catalog/24_boo_b/,,,HD 127243,HIP 70791,14.4771698,90.162223,60.643666,185.925162,58.888907,10.39,10.39,-304.1,-46.8,307.6,-304.1,-46.8,307.6,-7.77,4.3,G3 IV,2.42,1.774,,-0.77,[Fe/H],6.92,3.36,,,,,1,0,1,0,0,3,0,,5.58,6.442,,,3.845,3.34,3.159,,,,,,,,,,,,2.95E+00,2.86E+00,1.18E+00,-9.16E-01,14,,0.864,,,0.505,0.181,0.686,,,,6
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,,1.99,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/2014,0,1,0,0,0,0,1.85E+01,2454762,9.2,40,,,,1.99,,632.46,632.46,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,13.85,65.2,-36.3,74.6,65.2,-36.3,74.6,7.29,5,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7,2.77,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.80E+00,2.56E+00,1.10E+00,-9.16E-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
10,24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,,0.86,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/2014,0,1,0,0,0,0,2.88E+01,2454930,220.5,14.5,,,,0.86,,273.32,273.32,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,13.85,65.2,-36.3,74.6,65.2,-36.3,74.6,7.29,5,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7,2.77,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.80E+00,2.56E+00,1.10E+00,-9.16E-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
